Abstract,Title
"IN AN INDUSTRYFOURTH CONTEXT, TO EACH OBJECT A “DIGITALTWIN” IS ASSOCIATED, WHICH IS A VIRTUAL COUNTERPART OF THE OBJECT ITSELF. IN THE CASE OF A TOOL, THIS INCLUDES, TOGETHER WITH ITS MATERIAL AND MANUFACTURING INFORMATION, ITS SOLID GEOMETRY. TOOL GEOMETRY KNOWLEDGE IS FUNDAMENTAL TO ENABLE EFFECTIVE TOOL MANAGEMENT, MANUFACTURING VERIFICATION, AND TOOLING SIMULATION. IF FOR TOOL MANAGEMENT THE CONVENTIONAL 2D PRESETTING IS SUFFICIENT, TOOLING SIMULATION AND TOOL MANUFACTURING VERIFICATION REQUIRE A COMPLETE 3D CHARACTERIZATION. THIS IS PARTICULARLY TRUE IN THE CASE OF THE MICROTOOLS: THE PROCESS OF MICRO-CHIP FORMATION IS STILL A RESEARCH SUBJECT. ALTHOUGH THE 3D GEOMETRY OF A TOOL IS WELL ESTABLISHED IN THE ISO 3002 SERIES OF STANDARD, ONLY RECENTLY 3D MEASUREMENT OF TOOLS HAS BEEN MADE POSSIBLE BY NEW MEASURING SYSTEMS. STILL, TOOL GEOMETRY VERIFICATION REQUIRES A LOT OF HUMAN INTERVENTION. THIS PAPER AIMS AT SETTING THE BASE FOR THE AUTOMATIC ANALYSIS OF POINT MESHES SCANNED ON THE WHOLE SURFACE OF TOOLS, AND IN PARTICULAR MICROTOOLS. THE FIRST STEP FOR DOING THIS IS THE IDENTIFICATION OF THE ACTIVE SURFACES OF THE TOOL, THAT IS THE FACE AND THE FLANK PLUS THE CUTTING EDGE. THE IDENTIFICATION OF THESE GEOMETRIC FEATURES IS IN GENERAL POSSIBLE THANKS TO THEIR SPECIFIC CHARACTERISTICS: IN PARTICULAR, THE CUTTING EDGE IS CHARACTERIZED BY A HIGH CURVATURE, AND IT SEPARATES THE FACE FROM THE FLANK. THIS PAPER CONSIDERS CYLINDRICAL MICRO END-MILLS AS A FIRST EXAMPLE OF AN APPROACH THAT CAN BE EXTENDED TO IN PRINCIPLE ANY KIND OF TOOL. THE CYLINDRICAL HELIX CHARACTERIZING THE CUTTING EDGE IS THE KEY GEOMETRY TO BE CONSIDERED IN THE DEVELOPMENT OF THE SPECIFIC METHOD. ONCE THE TOOL FEATURES (FACE, FLANK, AND CUTTING EDGE) HAVE BEEN SEPARATED, OF THE TOOL ANGLES, FOR INSTANCE, CAN BE ESTIMATED. AS FIRST ANGLE TO STUDY, THE RAKE ANGLE HAS BEEN SELECTED. THE APPROACH WILL BE VALIDATED ON SIMULATED DATA AND ON REAL SCANS OF MICRO-TOOLS. © 2020, INTERNATIONAL SOCIETY FOR NANOMANUFACTURING AND TIANJIN UNIVERSITY AND SPRINGER NATURE SINGAPORE PTE LTD.",3D IDENTIFICATION OF FACE AND FLANK IN MICROMILLS FOR AUTOMATIC MEASUREMENT OF RAKE ANGLE
"THE DIGITALTWIN IS A RECENTLY DEVELOPED INNOVATIVE TECHNOLOGY IN INDUSTRYFOURTH. THE CYBER-PHYSICAL SYSTEM (CPS) IS A CONCEPT CLOSELY CONNECTED WITH INDUSTRYFOURTH THAT CAN FORM A BASIS FOR CREATING A DIGITALTWIN. IN THIS PAPER, A COMPREHENSIVE MODEL OF A DIGITALTWIN APPROACH FOR A MANUFACTURING ENVIRONMENT AND RELATED PRODUCTION PROCESSES IS PROPOSED. THE PRESENTED MODEL IS BASED ON COMBINING A 5-DIMENSIONAL DEFINITION FOR THE DIGITALTWIN AND CLOUD-BASED CPS (C2PS) ARCHITECTURE. THE MODEL CONSISTS OF FIVE LAYERS TO REPLICATE THE PHYSICAL OBJECT AS A VIRTUAL OBJECT AND TO COLLECT AND CONVERT DATA. ANALYSIS OF THE VIRTUAL MODEL FOR PREDICTION OF FUTURE DEVELOPMENT, DECISION-MAKING, RE-CONFIGURATION, WHAT-IF ANALYSIS, AND UNDERSTANDING OF THE EFFECT OF CHANGES IN THE REAL TIME PROCESS IS PERFORMED IN THE FOURTH LAYER. THE USER INTERFACE LAYER IS THE CONNECTION BETWEEN THE VIRTUAL AND PHYSICAL MODEL. USE OF A DIGITALTWIN IN MANUFACTURING ENABLES IMPROVEMENT IN THE EFFECTIVENESS OF LEAN MANUFACTURING, LEADING TO SAVINGS IN RESOURCES SUCH AS COST AND TIME. UNCERTAINTIES INHERENT IN MANUFACTURING PROCESSES MEAN THAT THE DIGITALTWIN APPROACH IS A MORE SUITABLE METHOD FOR OPTIMIZATION OF THE OVERALL PROCESS AND THE SUB-PROCESSES THAN PURE SIMULATION. AN ACCURATE DIGITALTWIN MODEL CAN IMPROVE SAFETY, SAVE COSTS, SPEED UP MANUFACTURING OF NEW PRODUCTS AND IMPLEMENTATION OF NEW PROCESSES, AND PROVIDE GLOBAL OPTIMIZATION RESULTS. IN PRACTICE, HOWEVER, PROVISION OF DATA IS A CHALLENGE TO USE OF THE DIGITALTWIN APPROACH BECAUSE MODERN MANUFACTURING USES A VARIETY OF DATA IN DIFFERENT FORMATS WITH DIFFERENT OWNERS. ACCESS TO ALL REQUIRED DATA AND INFORMATION AND OBTAINING PERMISSION FOR ITS USE IN CREATION OF A DIGITALTWIN IS A TOPIC FOR FUTURE RESEARCH. © 2019 THE AUTHORS. PUBLISHED BY ELSEVIER B.V. THIS IS AN OPEN ACCESS ARTICLE UNDER THE CC BY-NC-ND LICENSE (HTTP://CREATIVECOMMONS.ORG/LICENSES/BY-NC-ND/4.0/)",5DIMENSIONAL DEFINITION FOR A MANUFACTURING DIGITALTWIN
"FACTORIES ARE EVOLVING TOWARDS DIGITALIZED DATA-BASED ECOSYSTEMS UNDER THE PARADIGM OF THE INDUSTRYFOURTH WHERE NEW INDUSTRIAL SERVICES ALLOW THE IMPLEMENTATION OF MORE ROBUST, RESILIENT AND CUSTOMIZED MANUFACTURING SYSTEMS. SUCH SERVICES (E.G., DIGITALTWINS, EXTENDED REALITY OR COOPERATIVE ROBOTS) WILL REQUIRE HIGHLY RELIABLE AND DETERMINISTIC COMMUNICATION NETWORKS CAPABLE OF SUPPORTING STRINGENT LATENCY AND RELIABILITY REQUIREMENTS. 5G NETWORKS AND THEIR FUTURE EVOLUTION HAVE THE NECESSARY CAPABILITIES TO MEET THESE REQUIREMENTS. HOWEVER, THE USE OF 5G IN INDUSTRIAL ENVIRONMENTS REQUIRES ITS EFFECTIVE AND EFFICIENT INTEGRATION WITH TIME SENSITIVE NETWORKING (TSN), WHICH IS BECOMING THE STANDARD WIRED TECHNOLOGY FOR INDUSTRYFOURTH ENVIRONMENTS. TSN PROVIDES UNPRECEDENTED DETERMINISTIC SERVICE LEVELS WITH PERFECTLY BOUNDED LATENCIES. THE INTEGRATION OF THE INDUSTRIAL 5G AND TSN NETWORKS WILL BE KEY TO SUPPORT THE FLEXIBILITY AND DETERMINISM DEMANDED BY THE INDUSTRYFOURTH PARADIGM. A CRITICAL ASPECT TO ACHIEVE THIS INTEGRATION IS THE COORDINATION OF THE SCHEDULERS OF BOTH NETWORKS. TSN HAS INFORMATION ABOUT THE CAPABILITIES OF THE 5G-TSN INTEGRATED NETWORK, AND IT IS IN CHARGE OF DECIDING THE PATH AND SCHEDULING FOR EACH TSN TRAFFIC FLOW. THE SCHEDULING IN 5G MUST BE DONE ACCORDING TO THE SCHEDULING DECISIONS AND INFORMATION PROVIDED BY TSN TO GUARANTEE THE END-TO-END LATENCY REQUIREMENTS OF TSN TRAFFIC. IN THIS CONTEXT, THIS PAPER PROPOSES A NOVEL CONFIGURED GRANT (CG) SCHEDULING SCHEME FOR 5G INTEGRATED INTO A TSN NETWORK THAT AIMS TO MEET THE LATENCY REQUIREMENTS OF THE DIFFERENT TSN FLOWS. THE PROPOSED SCHEME EXPLOITS THE INFORMATION PROVIDED BY TSN ABOUT THE CHARACTERISTICS OF THE TSN TRAFFIC TO COORDINATE ITS DECISION WITH THE SCHEDULING OF TSN. THIS STUDY DEMONSTRATES THAT THE PROPOSED SCHEDULING SCHEME CONSIDERABLY INCREASES THE NUMBER OF TSN FLOWS THAT CAN BE SATISFACTORILY SERVED IN THE INTEGRATED 5G-TSN NETWORK COMPARED WITH A COMMONLY USED CG SCHEDULING SCHEME. © 2023 IFIP.",5G CONFIGURED GRANT SCHEDULING FOR 5GTSN INTEGRATION FOR THE SUPPORT OF INDUSTRYFOURTH
"AS AN IMPORTANT PART OF THE REAL ECONOMY, MANUFACTURING INDUSTRY PLAYS A MAJOR ROLE IN THE WHOLE HUMAN SOCIETY. SMARTMANUFACTURING HAS BECOME A STRATEGIC ISSUE FOR MANY COUNTRIES. SMARTMANUFACTURING PUTS FORWARD HIGHER REQUIREMENTS FOR THE INTELLIGENCE OF SHOP-FLOOR PRODUCTION PROCESS, PRODUCT OPERATION AND MAINTENANCE, LOGISTICS AND SUPPLY CHAIN, WHICH ARE INSEPARABLE FROM THE SUPPORT OF ADVANCED COMMUNICATION TECHNOLOGY. AS A NEW GENERATION OF MOBILE COMMUNICATION TECHNOLOGY, 5G PLAYS AN IMPORTANT ROLE IN MANY AREAS OF SMARTMANUFACTURING WITH THE CHARACTERISTICS OF HIGH BANDWIDTH, LOW LATENCY, AND MASSIVE CONNECTIVITY. THIS PAPER FIRST ANALYZED THE COMMUNICATION REQUIREMENTS FOR MACHINE-TO-MACHINE, MANUFACTURING INTERNET OF THINGS, CYBER-PHYSICAL SYSTEM-BASED MANUFACTURING, LOGISTICS AND SUPPLY CHAIN, INDUSTRIAL INTERNET PLATFORM AND DIGITALTWIN-DRIVEN MANUFACTURING. BASED ON THE REQUIREMENTS, THE RESEARCH AND APPLICATION PROGRESS OF 5G IN MANUFACTURING ARE INVESTIGATED FROM THE ABOVE SIX ASPECTS. IN ADDITION, THIS PAPER PROPOSED RELEVANT FUTURE RESEARCH HOTSPOTS FOR THE FURTHER INTEGRATION OF 5G AND THE ABOVE-MENTIONED SIX AREAS OF SMARTMANUFACTURING.",5G IN MANUFACTURING A LITERATURE REVIEW AND FUTURE RESEARCH
"IN THIS PAPER, A COMPREHENSIVE OVERVIEW OF DIGITALTWINS (DT) FOR 5G MOBILE SYSTEMS AND THEIR MUTUAL SUPPORT IS PRESENTED. FIRST, WE INTRODUCE FUNDAMENTAL DT CONCEPTS IN THE CREATION OF VIRTUAL REPRESENTATIONS OF COMPLEX REAL-WORLD SYSTEMS. SECOND, FOR DT SUPPORT IN THE EMULATION OF 5G NETWORKS, WE IDENTIFIED CHALLENGES IN DESIGN, OPTIMIZATION, NETWORK OPERATION AND MAINTENANCE. THIRD, EXAMPLES OF SPECIFIC DT USE CASES INCLUDING SMARTMANUFACTURING AS THE LEADING 5G VERTICAL ARE CONSIDERED. THE CONTINUOUSLY GROWING DEMANDS CREATE NEW REQUIREMENTS AND TRENDS. WE DISCUSS OPEN RESEARCH CHALLENGES TOGETHER WITH POSSIBLE DIRECTIONS FOR FUTURE WORK. © 2022 IEEE.",5G MOBILE NETWORKS AND DIGITALTWINS CONCEPT RESEARCH CHALLENGES IN NETWORK DT EMULATION
"INDUSTRYFOURTH AND 5.0 APPLICATIONS WILL CONTRIBUTE TOWARDS SAFER, ZERO-DEFECT AND CUSTOMIZED PRODUCTION ENVIRONMENTS. SUCH APPLICATIONS (E.G. DIGITALTWINS, COLLABORATIVE ROBOTICS AND EXTENDED REALITY) REQUIRE COMMUNICATION NETWORKS CAPABLE TO SATISFY STRINGENT LATENCY, BANDWIDTH, AND RELIABILITY REQUIREMENTS. SUCH REQUIREMENTS CAN BE SUSTAINED WITH 5G NETWORKS AND THEIR EVOLUTION THAT OFFER UNPRECEDENTED COMMUNICATIONS PERFORMANCE AND FLEXIBILITY THANKS TO THE SOFTWARIZATION OF NETWORKS AND THE USE OF NETWORK SLICING. NETWORK SLICING CREATES DIFFERENT LOGICAL PARTITIONS OR SLICES OF THE COMMON NETWORK INFRASTRUCTURE AND CONFIGURES EACH SLICE TO THE REQUIREMENTS OF THE APPLICATIONS IT WILL SUPPORT. RAN (RADIO ACCESS NETWORK) SLICING IS A FUNDAMENTAL PART OF NETWORK SLICING IN 5G AS THE RADIO CHANNEL IS PRONE TO ERRORS AND THIS IMPACTS THE CAPACITY TO SUPPORT STRINGENT RELIABILITY REQUIREMENTS. TO DATE, RAN SLICES HAVE BEEN CREATED CONSIDERING THE NUMBER OF RADIO RESOURCES THAT MUST BE RESERVED TO GUARANTEE THE TRANSMISSION RATE OR BANDWIDTH DEMANDED BY THE APPLICATIONS THEY WILL SERVE. THIS STUDY DEMONSTRATES THAT THIS DESIGN APPROACH CANNOT GUARANTEE SATISFYING THE RELIABILITY REQUIREMENTS OF INDUSTRIAL APPLICATIONS AND PROPOSES A NOVEL RAN SLICE DESCRIPTOR THAT TAKES INTO ACCOUNT BOTH THE RELIABILITY AND TRANSMISSION RATE REQUIREMENTS OF THE APPLICATIONS. © 2022 IEEE.",5G RAN SLICING TO SUPPORT RELIABILITY IN INDUSTRIAL APPLICATIONS
"IN RECENT YEARS, POTENTIALLY DISRUPTIVE IDENTITY-RELATED TOPICS EMERGED, SUCH AS DIGITALTWIN TECHNOLOGY FOR PRODUCT LIFECYCLE MANAGEMENT OR SELF-SOVEREIGN IDENTITY (SSI) FOR SOVEREIGN DATA CONTROL. IN THIS STUDY, WE IDENTIFY RESEARCH STREAMS AND EMERGING TRENDS IN ACADEMIC RESEARCH ON DIGITAL IDENTITY THROUGH A BIBLIOMETRIC ANALYSIS OF 1,395 PEER-REVIEWED ARTICLES AND THEIR 44,412 REFERENCES. WE DERIVE SEVEN DISTINCT RESEARCH STREAMS AND THEIR INTERRELATIONS BY MEANS OF CO-CITATION ANALYSIS. WE NAME THE SEVEN RESEARCH STREAMS: I) DIGITALTWIN TECHNOLOGY FOR SMARTMANUFACTURING AND INDUSTRIAL HEALTH MONITORING, II) IDENTITY-BASED SIGNCRYPTION SCHEMES, III) DISTRIBUTED NETWORKS AND USER PRIVACY, IV) USER AUTHENTICATION IN WIRELESS SENSOR NETWORKS, V) ATTRIBUTE-BASED ENCRYPTION SCHEMES, VI) SECURE DATA EXCHANGE IN THE INTERNET OF THINGS AND VII) BLOCKCHAIN AND SMART CONTRACTS FOR SECURE DATA MANAGEMENT. EACH STREAM'S HIGH-IMPACT PUBLICATIONS AND ITS DEVELOPMENT OVER TIME ARE REVIEWED AND THE INTERRELATION BETWEEN PUBLICATIONS AND STREAMS ARE VISUALIZED. IN ADDITION, WE EXTRACT DIRECTIONS FOR FUTURE RESEARCH FROM THE FIELD'S MOST INFLUENTIAL PUBLICATIONS. THE RESULTS OFFER A COMPREHENSIVE AND SYSTEMATIC OVERVIEW OF PUBLICATIONS AND DISCOURSES IN DIGITAL IDENTITY RESEARCH. © 2022 THE SOCIETY OF MANUFACTURING ENGINEERS",A BIBLIOMETRIC REVIEW OF RESEARCH ON DIGITAL IDENTITY RESEARCH STREAMS INFLUENTIAL WORKS AND FUTURE RESEARCH PATHS
"THE RAPID ADVANCEMENTS IN COMPUTING, STORAGE, COMMUNICATIONS, AND NETWORKING TECHNOLOGIES HAVE ENABLED THE CREATION OF DIGITALTWINS (DTS). A DT IS A DIGITAL REPRESENTATION OF A REAL-WORLD PHYSICAL COMPONENT, PRODUCT, OR EQUIPMENT. A DT CAN BE USED FOR 3-D DESIGN, TESTING, SIMULATION, AND PROTOTYPING PRIOR TO THE MANUFACTURING OF THE PHYSICAL COMPONENT. ONCE A PHYSICAL COMPONENT IS IN OPERATION, A DT CAN BE USED FOR CONFIGURATION, MONITORING, DIAGNOSTICS, AND PROGNOSTICS. IT IS EXPECTED THAT DTS WILL GAIN SIGNIFICANT ATTENTION IN THE FORESEEABLE FUTURE, AND WILL PLAY A KEY ROLE IN INDUSTRYFOURTH. HOWEVER, TODAY'S APPROACHES, SYSTEMS, AND TECHNOLOGIES LEVERAGED FOR THE CREATION OF DTS ARE MOSTLY CENTRALIZED AND FALL SHORT OF PROVIDING TRUSTED DATA PROVENANCE, AUDIT, AND TRACEABILITY. ALSO, DATA RELATED TO TRANSACTIONS, LOGS, AND HISTORY ARE NOT SECURE OR TAMPER-PROOF. IN THIS PAPER, WE PROPOSE A BLOCKCHAIN-BASED CREATION PROCESS OF DTS TO GUARANTEE SECURE AND TRUSTED TRACEABILITY, ACCESSIBILITY, AND IMMUTABILITY OF TRANSACTIONS, LOGS, AND DATA PROVENANCE. OUR PROPOSED APPROACH USES SMART CONTRACTS TO GOVERN AND TRACK TRANSACTIONS INITIATED BY PARTICIPANTS INVOLVED IN THE CREATION OF DTS. OUR APPROACH ALSO EMPLOYS DECENTRALIZED STORAGE OF INTERPLANETARY FILE SYSTEMS TO STORE AND SHARE DTS DATA. MOREOVER, WE PRESENT DETAILS ON OUR SYSTEM DESIGN AND ARCHITECTURE, IMPLEMENTATION, AND ALGORITHMS. FURTHERMORE, WE PROVIDE SECURITY AND COST ANALYSIS, AND SHOW HOW OUR APPROACH FULFILLS THE REQUIREMENTS OF DTS PROCESS CREATION. WE MAKE THE SMART CONTRACT CODE FOR CREATING DTS PUBLICLY AVAILABLE ON GITHUB. © 2013 IEEE.",A BLOCKCHAINBASED APPROACH FOR THE CREATION OF DIGITALTWINS
"AIRCRAFT SPARE PARTS INVENTORY MANAGEMENT (ASPM) HAS PLAYED A CRITICAL ROLE IN TRACING AND TRACKING SPARE PARTS AS ANY RELATED MAINTENANCE OR MOVEMENT SHALL BE RECORDED. TRACEABILITY AND TRACKABILITY OF DATA ENSURE THE COMPLIANCE OF AIRWORTHINESS REQUIREMENTS. THE INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA) HAS STRONGLY EMPHASISED THE SIGNIFICANCE OF QUALITY TRACEABILITY DATA THROUGHOUT THE AIRCRAFT PART'S LIFE CYCLE, LEADING TO ENHANCED INVENTORY CONTROL ACCURACY, REDUCED MAINTENANCE ERROR, AND EFFECTIVE DECISION-MAKING PROCESSES. HOWEVER, WITH THE RAPID INCREASE OF SPARE PARTS TYPES, THE COMPLEXITY OF AIRCRAFT PARTS MULTI-STAGE SUPPLY CHAINS LEADS TO INEFFICIENT TRACING AND TRACKING OPERATIONS WITH UNSATISFACTORY TRACEABILITY DATA QUALITY AND INFORMATION SECURITY. THIS PAPER PROPOSED A BLOCKCHAIN-BASED SYSTEM THAT PROVIDED A MANAGERIAL PLATFORM FOR ACCURATE RECORDING OF SPARE PARTS TRACEABILITY DATA WITH ORGANISATIONAL CONSENSUS AND VALIDATION USING HYPERLEDGER FABRIC AND HYPERLEDGER COMPOSER. A DATA MODEL HAS BEEN DETERMINED BASED ON THE EXISTING ASPM, ENABLING INFORMATION INTEGRITY DURING TRANSACTION OPERATIONS. THE CHANNEL MECHANISM HAS YIELDED A TRUSTFUL DATA SHARING PLATFORM BETWEEN EACH CONTRACTING ORGANISATION FOR LOGISTICS AND OPERATIONAL ARRANGEMENTS, WHICH HAS ENHANCED INFORMATION VISIBILITY AND SECURITY. THE BLOCKCHAIN-BASED SYSTEM, EXECUTED UNDER A DECENTRALISED LEDGER MECHANISM, SHALL IMPROVE THE QUALITY OF TRACEABILITY DATA AND RELIABLE INFORMATION SHARING WITHIN THE SPARE PARTS SUPPLY CHAIN. THE ENHANCED BLOCKCHAIN-BASED INVENTORY MANAGEMENT SYSTEM CAN ESTABLISH THE DIGITALTWIN OF AVIATION AS PART OF INDUSTRYFOURTH IN THE FUTURE. © 2021 ELSEVIER LTD",A BLOCKCHAINBASED SYSTEM TO ENHANCE AIRCRAFT PARTS TRACEABILITY AND TRACKABILITY FOR INVENTORY MANAGEMENT
"DIGITALTWINS IN PRODUCTION ENVIRONMENTS ENABLE A STRUCTURED AND UNIFORM ACCESS TO DISTRIBUTED ASSET-RELATED DATA, FUNCTIONALITIES AND MODELS, WHICH CAN BE LEVERAGED BY APPLICATIONS TO ACHIEVE A SUSTAINABLE IMPROVEMENT OF THE MANUFACTURING SYSTEM. HOWEVER, PRODUCTION ENVIRONMENTS ARE COMPLEX AND CONTAIN VARIOUS HETEROGENEOUS AND HIGHLY INTERRELATED ASSET TYPES, MAKING ITS DIGITAL REPRESENTATION THROUGH DIGITALTWINS DIFFICULT AND AMBIGUOUS. GIVEN THIS SITUATION, WE INTRODUCE A CONCEPT FOR A STRUCTURED IMPLEMENTATION OF DIGITALTWINS IN PRODUCTION ENVIRONMENTS USING THE ASSET ADMINISTRATION SHELL (AAS). FIRST, RELEVANT TYPES OF PRODUCTION ASSETS, WHICH ARE ASSOCIATED WITH AN AAS, ARE DERIVED. IN THE NEXT STEP, THE IDENTIFIED ASSET TYPES ARE CHARACTERIZED, RELATIONSHIPS ARE DEFINED AND THUS A COHERENT CONCEPT FOR THE DIGITAL REPRESENTATION OF PRODUCTION ENVIRONMENTS IS CREATED. FINALLY, AN APPROACH FOR APPLYING THE CONCEPT IN HIGH-VOLUME PRODUCTION IS DESCRIBED. WE THEN VALIDATE OUR APPROACH CONCEPTUALLY USING THE EXAMPLE OF A LAB-SCALE PRODUCTION ENVIRONMENT FOR BATTERY CELL MANUFACTURING. BY INTRODUCING A CONCEPT TO STRUCTURE AND SCALE THE USE OF THE AAS, WE AIM TO SIMPLIFY THE CONCEPTUAL DESIGN OF AASS FOR THE DIGITAL REPRESENTATION OF (HIGH-VOLUME) PRODUCTION ENVIRONMENTS, TO ENHANCE DATA-DRIVEN IMPROVEMENTS. © 2022 IEEE.",A BLUEPRINT OF DIGITALTWINS IN HIGH VOLUME PRODUCTION ENVIRONMENTS USING THE ASSET ADMINISTRATION SHELL
