Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.292538182744816
75% Corpus,2,0.01,0.21000000000000002,0.29341973669412336
75% Corpus,2,0.01,0.41000000000000003,0.2914919196944155
75% Corpus,2,0.01,0.6100000000000001,0.29067938906628843
75% Corpus,2,0.01,0.81,0.29054591502994553
75% Corpus,2,0.01,symmetric,0.29061036574510807
75% Corpus,2,0.21000000000000002,0.01,0.2999496561989426
75% Corpus,2,0.21000000000000002,0.21000000000000002,0.2934197366941234
75% Corpus,2,0.21000000000000002,0.41000000000000003,0.29253818274481597
75% Corpus,2,0.21000000000000002,0.6100000000000001,0.2906793890662885
75% Corpus,2,0.21000000000000002,0.81,0.2967085250922391
75% Corpus,2,0.21000000000000002,symmetric,0.292538182744816
75% Corpus,2,0.41000000000000003,0.01,0.29056944851402705
75% Corpus,2,0.41000000000000003,0.21000000000000002,0.2934197366941234
75% Corpus,2,0.41000000000000003,0.41000000000000003,0.2989460722856514
75% Corpus,2,0.41000000000000003,0.6100000000000001,0.292538182744816
75% Corpus,2,0.41000000000000003,0.81,0.28451677900399475
75% Corpus,2,0.41000000000000003,symmetric,0.2989460722856514
75% Corpus,2,0.6100000000000001,0.01,0.28718998161958315
75% Corpus,2,0.6100000000000001,0.21000000000000002,0.29354176665810716
75% Corpus,2,0.6100000000000001,0.41000000000000003,0.29994965619894254
75% Corpus,2,0.6100000000000001,0.6100000000000001,0.292538182744816
75% Corpus,2,0.6100000000000001,0.81,0.292538182744816
75% Corpus,2,0.6100000000000001,symmetric,0.291118726897077
75% Corpus,2,0.81,0.01,0.296984724299616
75% Corpus,2,0.81,0.21000000000000002,0.2999496561989426
75% Corpus,2,0.81,0.41000000000000003,0.29994965619894254
75% Corpus,2,0.81,0.6100000000000001,0.2975266164379124
75% Corpus,2,0.81,0.81,0.291118726897077
75% Corpus,2,0.81,symmetric,0.291118726897077
75% Corpus,2,symmetric,0.01,0.29994965619894254
75% Corpus,2,symmetric,0.21000000000000002,0.2935417666581072
75% Corpus,2,symmetric,0.41000000000000003,0.292538182744816
75% Corpus,2,symmetric,0.6100000000000001,0.292538182744816
75% Corpus,2,symmetric,0.81,0.2906793890662885
75% Corpus,2,symmetric,symmetric,0.292538182744816
75% Corpus,2,asymmetric,0.01,0.2918535028893817
75% Corpus,2,asymmetric,0.21000000000000002,0.2948893448766544
75% Corpus,2,asymmetric,0.41000000000000003,0.2948893448766544
75% Corpus,2,asymmetric,0.6100000000000001,0.2956084551981447
75% Corpus,2,asymmetric,0.81,0.30977416549458575
