Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.29611967109133375
75% Corpus,2,0.01,0.21000000000000002,0.29798342132081607
75% Corpus,2,0.01,0.41000000000000003,0.30049447139795993
75% Corpus,2,0.01,0.6100000000000001,0.29938840471286887
75% Corpus,2,0.01,0.81,0.2968890269362987
75% Corpus,2,0.01,symmetric,0.29938840471286887
75% Corpus,2,0.21000000000000002,0.01,0.29662227633452176
75% Corpus,2,0.21000000000000002,0.21000000000000002,0.2929827304044751
75% Corpus,2,0.21000000000000002,0.41000000000000003,0.3029508286663826
75% Corpus,2,0.21000000000000002,0.6100000000000001,0.302840994685898
75% Corpus,2,0.21000000000000002,0.81,0.2968890269362987
75% Corpus,2,0.21000000000000002,symmetric,0.2971979229170686
75% Corpus,2,0.41000000000000003,0.01,0.29662227633452176
75% Corpus,2,0.41000000000000003,0.21000000000000002,0.29543908767289784
75% Corpus,2,0.41000000000000003,0.41000000000000003,0.30557736352684606
75% Corpus,2,0.41000000000000003,0.6100000000000001,0.29904399823645866
75% Corpus,2,0.41000000000000003,0.81,0.29507404654320607
75% Corpus,2,0.41000000000000003,symmetric,0.3055773635268461
75% Corpus,2,0.6100000000000001,0.01,0.30821231700317153
75% Corpus,2,0.6100000000000001,0.21000000000000002,0.3040002693675561
75% Corpus,2,0.6100000000000001,0.41000000000000003,0.30557736352684617
75% Corpus,2,0.6100000000000001,0.6100000000000001,0.30330094811772146
75% Corpus,2,0.6100000000000001,0.81,0.2968452283399434
75% Corpus,2,0.6100000000000001,symmetric,0.3055773635268461
75% Corpus,2,0.81,0.01,0.3068799213354609
75% Corpus,2,0.81,0.21000000000000002,0.30592055587732503
75% Corpus,2,0.81,0.41000000000000003,0.3108892223438027
75% Corpus,2,0.81,0.6100000000000001,0.30527435961963556
75% Corpus,2,0.81,0.81,0.3052541284689766
75% Corpus,2,0.81,symmetric,0.3108892223438027
75% Corpus,2,symmetric,0.01,0.3057559597347488
75% Corpus,2,symmetric,0.21000000000000002,0.30537677209658254
75% Corpus,2,symmetric,0.41000000000000003,0.30557736352684617
75% Corpus,2,symmetric,0.6100000000000001,0.29904399823645866
75% Corpus,2,symmetric,0.81,0.2968452283399434
75% Corpus,2,symmetric,symmetric,0.3055773635268461
75% Corpus,2,asymmetric,0.01,0.28676711751645023
75% Corpus,2,asymmetric,0.21000000000000002,0.2840914465325805
75% Corpus,2,asymmetric,0.41000000000000003,0.29090546647320104
75% Corpus,2,asymmetric,0.6100000000000001,0.28899821254124536
75% Corpus,2,asymmetric,0.81,0.26177991018063174
75% Corpus,2,asymmetric,symmetric,0.2857998050340558
75% Corpus,3,0.01,0.01,0.29795588739498646
75% Corpus,3,0.01,0.21000000000000002,0.29666544253664867
75% Corpus,3,0.01,0.41000000000000003,0.30560746513538395
75% Corpus,3,0.01,0.6100000000000001,0.3089519407048787
75% Corpus,3,0.01,0.81,0.30122911068762553
75% Corpus,3,0.01,symmetric,0.2918629657233431
75% Corpus,3,0.21000000000000002,0.01,0.30236314128894154
75% Corpus,3,0.21000000000000002,0.21000000000000002,0.3022474927322552
75% Corpus,3,0.21000000000000002,0.41000000000000003,0.3093089235671327
75% Corpus,3,0.21000000000000002,0.6100000000000001,0.30779384667608994
75% Corpus,3,0.21000000000000002,0.81,0.3021935958934503
75% Corpus,3,0.21000000000000002,symmetric,0.3042476520646685
75% Corpus,3,0.41000000000000003,0.01,0.29502140617528944
75% Corpus,3,0.41000000000000003,0.21000000000000002,0.30372869906869404
75% Corpus,3,0.41000000000000003,0.41000000000000003,0.3020453667972595
75% Corpus,3,0.41000000000000003,0.6100000000000001,0.30718878135757716
75% Corpus,3,0.41000000000000003,0.81,0.3037082813485204
75% Corpus,3,0.41000000000000003,symmetric,0.30304036162251785
75% Corpus,3,0.6100000000000001,0.01,0.29434979116465637
75% Corpus,3,0.6100000000000001,0.21000000000000002,0.3045833242760229
75% Corpus,3,0.6100000000000001,0.41000000000000003,0.30316218253121946
75% Corpus,3,0.6100000000000001,0.6100000000000001,0.3039922256373326
75% Corpus,3,0.6100000000000001,0.81,0.3049444918192988
75% Corpus,3,0.6100000000000001,symmetric,0.3020453667972595
75% Corpus,3,0.81,0.01,0.2898672344189055
75% Corpus,3,0.81,0.21000000000000002,0.30657363567629065
75% Corpus,3,0.81,0.41000000000000003,0.30467667504527224
75% Corpus,3,0.81,0.6100000000000001,0.30468422128338285
